========== key size = 16, value size = 1024 ===========
Initializing RocksDB Options from the specified file
Initializing RocksDB Options from command-line flags
Latency for percentile 23 : 0.390103
Latency for percentile 24 : 0.407064
Latency for percentile 25 : 0.424025
Latency for percentile 26 : 0.440986
Latency for percentile 27 : 0.457947
Latency for percentile 28 : 0.474908
Latency for percentile 29 : 0.491869
Latency for percentile 30 : 0.508830
Latency for percentile 31 : 0.525791
Latency for percentile 32 : 0.542752
Latency for percentile 33 : 0.559713
Latency for percentile 34 : 0.576674
Latency for percentile 35 : 0.593635
Latency for percentile 36 : 0.610596
Latency for percentile 37 : 0.627557
Latency for percentile 38 : 0.644518
Latency for percentile 39 : 0.661479
Latency for percentile 40 : 0.678440
Latency for percentile 41 : 0.695401
Latency for percentile 42 : 0.712362
Latency for percentile 43 : 0.729323
Latency for percentile 44 : 0.746284
Latency for percentile 45 : 0.763245
Latency for percentile 46 : 0.780206
Latency for percentile 47 : 0.797167
Latency for percentile 48 : 0.814128
Latency for percentile 49 : 0.831089
Latency for percentile 50 : 0.848050
Latency for percentile 51 : 0.865011
Latency for percentile 52 : 0.881972
Latency for percentile 53 : 0.898933
Latency for percentile 54 : 0.915894
Latency for percentile 55 : 0.932855
Latency for percentile 56 : 0.949816
Latency for percentile 57 : 0.966777
Latency for percentile 58 : 0.983737
Latency for percentile 59 : 1.001076
Latency for percentile 60 : 1.027214
Latency for percentile 61 : 1.053352
Latency for percentile 62 : 1.079490
Latency for percentile 63 : 1.105628
Latency for percentile 64 : 1.131766
Latency for percentile 65 : 1.157903
Latency for percentile 66 : 1.184041
Latency for percentile 67 : 1.210179
Latency for percentile 68 : 1.236317
Latency for percentile 69 : 1.262455
Latency for percentile 70 : 1.288593
Latency for percentile 71 : 1.314730
Latency for percentile 72 : 1.340868
Latency for percentile 73 : 1.367006
Latency for percentile 74 : 1.393144
Latency for percentile 75 : 1.419282
Latency for percentile 76 : 1.445419
Latency for percentile 77 : 1.471557
Latency for percentile 78 : 1.497695
Latency for percentile 79 : 1.523833
Latency for percentile 80 : 1.549971
Latency for percentile 81 : 1.576109
Latency for percentile 82 : 1.602246
Latency for percentile 83 : 1.628384
Latency for percentile 84 : 1.654522
Latency for percentile 85 : 1.680660
Latency for percentile 86 : 1.706798
Latency for percentile 87 : 1.732936
Latency for percentile 88 : 1.759073
Latency for percentile 89 : 1.785211
Latency for percentile 90 : 1.811349
Latency for percentile 91 : 1.837487
Latency for percentile 92 : 1.863625
Latency for percentile 93 : 1.889763
Latency for percentile 94 : 1.915900
Latency for percentile 95 : 1.942038
Latency for percentile 96 : 1.968176
Latency for percentile 97 : 1.994314
Latency for percentile 98 : 53.539963
Latency for percentile 99 : 77.531096
Latency for percentile 100 : 472.307692
Latency for percentile 0 : 0.000000
Latency for percentile 1 : 0.019154
Latency for percentile 2 : 0.038308
Latency for percentile 3 : 0.057462
Latency for percentile 4 : 0.076616
Latency for percentile 5 : 0.095771
Latency for percentile 6 : 0.114925
Latency for percentile 7 : 0.134079
Latency for percentile 8 : 0.153233
Latency for percentile 9 : 0.172387
Latency for percentile 10 : 0.191541
Latency for percentile 11 : 0.210695
Latency for percentile 12 : 0.229849
Latency for percentile 13 : 0.249003
Latency for percentile 14 : 0.268157
Latency for percentile 15 : 0.287312
Latency for percentile 16 : 0.306466
Latency for percentile 17 : 0.325620
Latency for percentile 18 : 0.344774
Latency for percentile 19 : 0.363928
Latency for percentile 20 : 0.383082
Latency for percentile 21 : 0.402236
Latency for percentile 22 : 0.421390
Latency for percentile 23 : 0.440544
Latency for percentile 24 : 0.459698
Latency for percentile 25 : 0.478853
Latency for percentile 26 : 0.498007
Latency for percentile 27 : 0.517161
Latency for percentile 28 : 0.536315
Latency for percentile 29 : 0.555469
Latency for percentile 30 : 0.574623
Latency for percentile 31 : 0.593777
Latency for percentile 32 : 0.612931
Latency for percentile 33 : 0.632085
Latency for percentile 34 : 0.651239
Latency for percentile 35 : 0.670394
Latency for percentile 36 : 0.689548
Latency for percentile 37 : 0.708702
Latency for percentile 38 : 0.727856
Latency for percentile 39 : 0.747010
Latency for percentile 40 : 0.766164
Latency for percentile 41 : 0.785318
Latency for percentile 42 : 0.804472
Latency for percentile 43 : 0.823626
Latency for percentile 44 : 0.842780
Latency for percentile 45 : 0.861935
Latency for percentile 46 : 0.881089
Latency for percentile 47 : 0.900243
Latency for percentile 48 : 0.919397
Latency for percentile 49 : 0.938551
Latency for percentile 50 : 0.957705
Latency for percentile 51 : 0.976859
Latency for percentile 52 : 0.996013
Latency for percentile 53 : 1.020216
Latency for percentile 54 : 1.045747
Latency for percentile 55 : 1.071277
Latency for percentile 56 : 1.096807
Latency for percentile 57 : 1.122337
Latency for percentile 58 : 1.147867
Latency for percentile 59 : 1.173398
Latency for percentile 60 : 1.198928
Latency for percentile 61 : 1.224458
Latency for percentile 62 : 1.249988
Latency for percentile 63 : 1.275518
Latency for percentile 64 : 1.301049
Latency for percentile 65 : 1.326579
Latency for percentile 66 : 1.352109
Latency for percentile 67 : 1.377639
Latency for percentile 68 : 1.403170
Latency for percentile 69 : 1.428700
Latency for percentile 70 : 1.454230
Latency for percentile 71 : 1.479760
Latency for percentile 72 : 1.505290
Latency for percentile 73 : 1.530821
Latency for percentile 74 : 1.556351
Latency for percentile 75 : 1.581881
Latency for percentile 76 : 1.607411
Latency for percentile 77 : 1.632941
Latency for percentile 78 : 1.658472
Latency for percentile 79 : 1.684002
Latency for percentile 80 : 1.709532
Latency for percentile 81 : 1.735062
Latency for percentile 82 : 1.760593
Latency for percentile 83 : 1.786123
Latency for percentile 84 : 1.811653
Latency for percentile 85 : 1.837183
Latency for percentile 86 : 1.862713
Latency for percentile 87 : 1.888244
Latency for percentile 88 : 1.913774
Latency for percentile 89 : 1.939304
Latency for percentile 90 : 1.964834
Latency for percentile 91 : 1.990364
Latency for percentile 92 : 3.781674
Latency for percentile 93 : 54.494030
Latency for percentile 94 : 60.321820
Latency for percentile 95 : 66.149611
Latency for percentile 96 : 71.977402
Latency for percentile 97 : 79.363485
Latency for percentile 98 : 90.221988
Latency for percentile 99 : 101.080491
Latency for percentile 100 : 497.557252


** Compaction Stats [default] **
Level    Files   Size     Score Read(GB)  Rn(GB) Rnp1(GB) Write(GB) Wnew(GB) Moved(GB) W-Amp Rd(MB/s) Wr(MB/s) Comp(sec) CompMergeCPU(sec) Comp(cnt) Avg(sec) KeyIn KeyDrop Rblob(GB) Wblob(GB)
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  L0      0/0    0.00 KB   0.0      0.0     0.0      0.0       0.0      0.0       0.0   1.0      0.0    225.9      0.21              0.00         2    0.103       0      0       0.0       0.0
  L1      5/0   229.47 MB   0.9      0.5     0.2      0.3       0.5      0.2       0.0   2.5    143.2    136.0      3.58              3.25         1    3.579    878K    44K       0.0       0.0
  L2     30/0    1.69 GB   0.7      2.4     0.9      1.5       2.1      0.6       0.0   2.4    160.4    140.9     15.09             13.81        14    1.078   4157K   490K       0.0       0.0
 Sum     35/0    1.91 GB   0.0      2.9     1.1      1.8       2.6      0.8       0.0  57.4    155.4    140.9     18.87             17.06        17    1.110   5035K   534K       0.0       0.0
 Int      0/0    0.00 KB   0.0      2.9     1.1      1.8       2.6      0.8       0.0 2739815388.0    157.1    140.0     18.67             17.06        15    1.245   5035K   534K       0.0       0.0

** Compaction Stats [default] **
Priority    Files   Size     Score Read(GB)  Rn(GB) Rnp1(GB) Write(GB) Wnew(GB) Moved(GB) W-Amp Rd(MB/s) Wr(MB/s) Comp(sec) CompMergeCPU(sec) Comp(cnt) Avg(sec) KeyIn KeyDrop Rblob(GB) Wblob(GB)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Low      0/0    0.00 KB   0.0      2.9     1.1      1.8       2.6      0.8       0.0   0.0    157.1    140.0     18.67             17.06        15    1.245   5035K   534K       0.0       0.0
User      0/0    0.00 KB   0.0      0.0     0.0      0.0       0.0      0.0       0.0   0.0      0.0    225.9      0.21              0.00         2    0.103       0      0       0.0       0.0

Blob file count: 0, total size: 0.0 GB

Uptime(secs): 89.9 total, 89.5 interval
Flush(GB): cumulative 0.045, interval 0.000
AddFile(GB): cumulative 0.000, interval 0.000
AddFile(Total Files): cumulative 0, interval 0
AddFile(L0 Files): cumulative 0, interval 0
AddFile(Keys): cumulative 0, interval 0
Cumulative compaction: 2.60 GB write, 29.57 MB/s write, 2.86 GB read, 32.62 MB/s read, 18.9 seconds
Interval compaction: 2.55 GB write, 29.20 MB/s write, 2.86 GB read, 32.77 MB/s read, 18.7 seconds
Stalls(count): 0 level0_slowdown, 0 level0_slowdown_with_compaction, 0 level0_numfiles, 0 level0_numfiles_with_compaction, 0 stop for pending_compaction_bytes, 0 slowdown for pending_compaction_bytes, 0 memtable_compaction, 0 memtable_slowdown, interval 0 total count
Block cache LRUCache@0x5619bb11c930 capacity: 8.00 MB collections: 1 last_copies: 1 last_secs: 4.1e-05 secs_since: 89
Block cache entry stats(count,size,portion): Misc(3,8.38 KB,0.102234%)

** File Read Latency Histogram By Level [default] **
** Level 0 read latency histogram (micros):
Count: 512949 Average: 7.1459  StdDev: 22.11
Min: 0  Median: 0.9130  Max: 1393
Percentiles: P50: 0.91 P75: 1.55 P99: 105.19 P99.9: 205.00 P99.99: 365.86
------------------------------------------------------
[       0,       1 ]   280917  54.765%  54.765% ###########
(       1,       2 ]   189967  37.034%  91.799% #######
(       2,       3 ]     3270   0.637%  92.437% 
(       3,       4 ]      654   0.127%  92.564% 
(       4,       6 ]      233   0.045%  92.610% 
(       6,      10 ]      421   0.082%  92.692% 
(      10,      15 ]      180   0.035%  92.727% 
(      15,      22 ]       30   0.006%  92.733% 
(      22,      34 ]        3   0.001%  92.733% 
(      34,      51 ]        2   0.000%  92.734% 
(      51,      76 ]    18904   3.685%  96.419% #
(      76,     110 ]    15422   3.007%  99.426% #
(     110,     170 ]     2248   0.438%  99.864% 
(     170,     250 ]      423   0.082%  99.946% 
(     250,     380 ]      251   0.049%  99.995% 
(     380,     580 ]       41   0.008% 100.003% 
(    1300,    1900 ]        1   0.000% 100.004% 

** Level 1 read latency histogram (micros):
Count: 3813070 Average: 3.1109  StdDev: 12.16
Min: 0  Median: 0.8480  Max: 1511
Percentiles: P50: 0.85 P75: 1.42 P99: 77.53 P99.9: 134.27 P99.99: 291.43
------------------------------------------------------
[       0,       1 ]  2248141  58.959%  58.959% ############
(       1,       2 ]  1458832  38.259%  97.218% ########
(       2,       3 ]     9951   0.261%  97.479% 
(       3,       4 ]     2796   0.073%  97.552% 
(       4,       6 ]     1689   0.044%  97.596% 
(       6,      10 ]     2512   0.066%  97.662% 
(      10,      15 ]      692   0.018%  97.680% 
(      15,      22 ]     1435   0.038%  97.718% 
